entity_id,state_id,state,old_state_id,last_changed,last_updated,shared_attrs
light.br_bulb1,125056,on,125051,2022-11-07 05:45:00.080539,2022-11-07 05:46:15.182624,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":102,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""effect"":""Sunrise"",""flowing"":true,""music_mode"":false,""friendly_name"":""Bedroom Lamp""}"
light.br_bulb1,125137,on,125056,2022-11-07 05:45:00.080539,2022-11-07 06:00:00.314481,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""flowing"":0,""music_mode"":false,""friendly_name"":""Bedroom Lamp""}"
light.br_bulb1,125200,unavailable,125137,,2022-11-07 06:03:28.867173,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""friendly_name"":""Bedroom Lamp""}"
light.br_bulb1,125223,on,125200,,2022-11-07 06:04:39.402530,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""color_mode"":""color_temp"",""brightness"":255,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""flowing"":0,""music_mode"":false,""friendly_name"":""Bedroom Lamp""}"
light.br_bulb1,125431,off,125223,,2022-11-07 06:35:14.257941,"{""min_color_temp_kelvin"":1700,""max_color_temp_kelvin"":6535,""flowing"":false,""music_mode"":false,""friendly_name"":""Bedroom Lamp""}"
light.wiz_bulb1,125432,on,123952,,2022-11-07 06:35:15.195225,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 1""}"
light.kitchen_lamp,125433,on,123953,,2022-11-07 06:35:15.197741,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""entity_id"":[""light.wiz_bulb1"",""light.wiz_bulb_2""],""icon"":""mdi:lightbulb-group"",""friendly_name"":""Kitchen Lamp""}"
light.wiz_bulb_2,125434,on,123951,,2022-11-07 06:35:15.261664,"{""min_color_temp_kelvin"":2702,""max_color_temp_kelvin"":6535,""color_mode"":""brightness"",""brightness"":255,""effect"":""Fall"",""friendly_name"":""Wiz Bulb 2""}"
light.midesklamp1s_95e0,125747,on,122915,,2022-11-07 07:59:19.714406,"{""min_color_temp_kelvin"":2500,""max_color_temp_kelvin"":20000,""color_mode"":""color_temp"",""brightness"":35.7,""color_temp_kelvin"":2702,""color_temp"":370,""hs_color"":[28.391,65.659],""rgb_color"":[255,166,87],""xy_color"":[0.526,0.387],""friendly_name"":""Desk Lamp""}"
light.midesklamp1s_95e0,125752,off,125747,,2022-11-07 08:01:19.718097,"{""min_color_temp_kelvin"":2500,""max_color_temp_kelvin"":20000,""friendly_name"":""Desk Lamp""}"
